,Filmes,ano,Nota,Diretores e Roteiristas
103,O Garoto,1921,8.2,"Charles Chaplin (dir.), Charles Chaplin, Edna Purviance"
104,Nascido para Matar,1987,8.2,"Stanley Kubrick (dir.), Matthew Modine, R. Lee Ermey"
105,Incêndios,2010,8.2,"Denis Villeneuve (dir.), Lubna Azabal, Mélissa Désormeaux-Poulin"
106,Dangal,2016,8.2,"Nitesh Tiwari (dir.), Aamir Khan, Sakshi Tanwar"
107,Se Meu Apartamento Falasse,1960,8.2,"Billy Wilder (dir.), Jack Lemmon, Shirley MacLaine"
108,Pacto de Sangue,1944,8.2,"Billy Wilder (dir.), Fred MacMurray, Barbara Stanwyck"
109,Metrópolis,1927,8.2,"Fritz Lang (dir.), Brigitte Helm, Alfred Abel"
110,Meu Pai,2020,8.2,"Florian Zeller (dir.), Anthony Hopkins, Olivia Colman"
111,A Separação,2011,8.2,"Asghar Farhadi (dir.), Payman Maadi, Leila Hatami"
112,Taxi Driver: Motorista de Táxi,1976,8.2,"Martin Scorsese (dir.), Robert De Niro, Jodie Foster"
113,Laranja Mecânica,1971,8.2,"Stanley Kubrick (dir.), Malcolm McDowell, Patrick Magee"
114,Golpe de Mestre,1973,8.2,"George Roy Hill (dir.), Paul Newman, Robert Redford"
115,Scarface,1983,8.2,"Brian De Palma (dir.), Al Pacino, Michelle Pfeiffer"
116,Snatch: Porcos e Diamantes,2000,8.2,"Guy Ritchie (dir.), Jason Statham, Brad Pitt"
117,1917,2019,8.2,"Sam Mendes (dir.), Dean-Charles Chapman, George MacKay"
118,O Fabuloso Destino de Amélie Poulain,2001,8.2,"Jean-Pierre Jeunet (dir.), Audrey Tautou, Mathieu Kassovitz"
119,O Sol é para Todos,1962,8.2,"Robert Mulligan (dir.), Gregory Peck, John Megna"
120,Toy Story 3,2010,8.2,"Lee Unkrich (dir.), Tom Hanks, Tim Allen"
121,Por uns Dólares a Mais,1965,8.2,"Sergio Leone (dir.), Clint Eastwood, Lee Van Cleef"
122,Up: Altas Aventuras,2009,8.2,"Pete Docter (dir.), Ed Asner, Jordan Nagai"
123,A Canção da Estrada,1955,8.2,"Satyajit Ray (dir.), Kanu Bannerjee, Karuna Bannerjee"
124,Indiana Jones e a Última Cruzada,1989,8.2,"Steven Spielberg (dir.), Harrison Ford, Sean Connery"
125,Fogo Contra Fogo,1995,8.2,"Michael Mann (dir.), Al Pacino, Robert De Niro"
126,Los Angeles: Cidade Proibida,1997,8.2,"Curtis Hanson (dir.), Kevin Spacey, Russell Crowe"
127,Ran,1985,8.2,"Akira Kurosawa (dir.), Tatsuya Nakadai, Akira Terao"
128,"Yojimbo, o Guarda-Costas",1961,8.2,"Akira Kurosawa (dir.), Toshirô Mifune, Eijirô Tôno"
129,Duro de Matar,1988,8.2,"John McTiernan (dir.), Bruce Willis, Alan Rickman"
130,Green Book: O Guia,2018,8.2,"Peter Farrelly (dir.), Viggo Mortensen, Mahershala Ali"
131,Rashomon,1950,8.2,"Akira Kurosawa (dir.), Toshirô Mifune, Machiko Kyô"
132,A Queda! As Últimas Horas de Hitler,2004,8.2,"Oliver Hirschbiegel (dir.), Bruno Ganz, Alexandra Maria Lara"
133,A Malvada,1950,8.2,"Joseph L. Mankiewicz (dir.), Bette Davis, Anne Baxter"
134,Monty Python em Busca do Cálice Sagrado,1975,8.2,"Terry Gilliam (dir.), Graham Chapman, John Cleese"
135,Quanto Mais Quente Melhor,1959,8.2,"Billy Wilder (dir.), Marilyn Monroe, Tony Curtis"
136,Batman Begins,2005,8.2,"Christopher Nolan (dir.), Christian Bale, Michael Caine"
137,Os Imperdoáveis,1992,8.2,"Clint Eastwood (dir.), Clint Eastwood, Gene Hackman"
138,Filhos do Paraíso,1997,8.2,"Majid Majidi (dir.), Mohammad Amir Naji, Amir Farrokh Hashemian"
139,Jai Bhim,2021,8.2,"T.J. Gnanavel (dir.), Suriya, Lijo Mol Jose"
140,O Castelo Animado,2004,8.2,"Hayao Miyazaki (dir.), Chieko Baishô, Takuya Kimura"
141,O Lobo de Wall Street,2013,8.2,"Martin Scorsese (dir.), Leonardo DiCaprio, Jonah Hill"
142,Julgamento em Nuremberg,1961,8.2,"Stanley Kramer (dir.), Spencer Tracy, Burt Lancaster"
143,Sangue Negro,2007,8.2,"Paul Thomas Anderson (dir.), Daniel Day-Lewis, Paul Dano"
144,Cassino,1995,8.2,"Martin Scorsese (dir.), Robert De Niro, Sharon Stone"
145,Fugindo do Inferno,1963,8.2,"John Sturges (dir.), Steve McQueen, James Garner"
146,O Tesouro da Sierra Madre,1948,8.2,"John Huston (dir.), Humphrey Bogart, Walter Huston"
147,O Labirinto do Fauno,2006,8.1,"Guillermo del Toro (dir.), Ivana Baquero, Ariadna Gil"
148,Uma Mente Brilhante,2001,8.1,"Ron Howard (dir.), Russell Crowe, Ed Harris"
149,O Segredo dos Seus Olhos,2009,8.1,"Juan José Campanella (dir.), Ricardo Darín, Soledad Villamil"
150,Touro Indomável,1980,8.1,"Martin Scorsese (dir.), Robert De Niro, Cathy Moriarty"
